,startTime,turnTime,endTime,duration,residue_diff,residue_fit,theta_phi,VHT,reduced_residue,topTurn,r,k,MA
0,2015-11-13 04:58:39,2015-11-13 04:59:51,2015-11-13 05:00:58,32,0.13101,0.18982,"(80, 60)","(-55.24055, 29.91915, -47.54839)",,True,-0.1428,-0.0505,0.4241161464384562
1,2015-11-13 05:02:15,2015-11-13 05:02:55,2015-11-13 05:03:22,16,0.16915,0.1827,"(20, 200)","(-46.78502, 36.3945, -24.46863)",,True,-0.0584,-0.0245,0.32318744167832475
2,2015-11-13 05:04:30,2015-11-13 05:04:52,2015-11-13 05:05:10,10,0.05005,0.06498,"(70, 320)","(-53.71516, 52.58692, -51.71772)",,True,-0.5358,-0.2638,0.3746746565292574
3,2015-11-13 05:06:22,2015-11-13 05:07:07,2015-11-13 05:07:57,22,0.15963,0.16124,"(30, 320)","(-33.93128, 25.35534, -41.86102)",,True,0.3892,0.1017,0.45905885433980004
4,2015-11-13 05:10:48,2015-11-13 05:11:06,2015-11-13 05:12:22,22,0.16012,0.17863,"(30, 300)","(-96.66461, 29.23285, -38.06433)",,True,-0.3583,-0.273,0.6974629033291493
5,2015-11-13 05:16:43,2015-11-13 05:17:19,2015-11-13 05:17:46,15,0.10219,0.13974,"(60, 300)","(-84.03095, 37.75213, 36.83719)",,True,0.8524,0.6071,0.8421526053114904
6,2015-11-13 05:21:36,2015-11-13 05:23:06,2015-11-13 05:25:21,51,0.09975,0.1872,"(80, 240)","(9.70043, 36.70201, -30.69089)",,True,0.3105,0.112,0.26931972509645463
7,2015-11-13 05:31:30,2015-11-13 05:32:46,2015-11-13 05:34:48,45,0.16382,0.19066,"(10, 120)","(-47.7044, 63.56677, -42.03714)",,True,0.2049,0.1887,1.1201183048185626
8,2015-11-13 05:36:31,2015-11-13 05:36:49,2015-11-13 05:37:34,15,0.1731,0.17881,"(20, 260)","(-1.02588, 78.89548, -8.74685)",,True,0.1238,0.0686,0.9545505891366088
9,2015-11-13 05:38:10,2015-11-13 05:38:37,2015-11-13 05:39:00,12,0.04264,0.06104,"(30, 300)","(-16.55203, 53.07305, -59.96104)",,True,-0.8454,-0.3887,0.5546096076074112
10,2015-11-13 05:40:07,2015-11-13 05:40:30,2015-11-13 05:41:01,13,0.11311,0.14752,"(20, 40)","(-0.74252, 73.54689, -23.362)",,True,0.27,0.048,0.36502093800749497
11,2015-11-13 05:46:30,2015-11-13 05:54:00,2015-11-13 06:05:55,260,0.13995,0.19248,"(50, 100)","(-26.71148, 43.24113, -35.73419)",,True,-0.3346,-0.2302,0.8955071121010196
12,2015-11-13 06:08:46,2015-11-13 06:09:09,2015-11-13 06:09:36,12,0.13193,0.10631,"(30, 320)","(-45.60606, 88.11478, 1.83701)",,True,0.8551,0.2115,0.23620707915012584
13,2015-11-13 06:10:43,2015-11-13 06:11:46,2015-11-13 06:13:03,32,0.12171,0.17733,"(10, 0)","(-34.26516, 30.18112, -10.29172)",,True,0.6542,0.2047,0.3040682789444151
14,2015-11-13 06:14:33,2015-11-13 06:15:18,2015-11-13 06:16:52,32,0.10702,0.12372,"(80, 300)","(-30.42279, 58.59941, 16.86347)",,True,0.8937,0.5309,0.6120604773330682
15,2015-11-13 06:19:39,2015-11-13 06:20:06,2015-11-13 06:20:33,13,0.16368,0.16603,"(80, 140)","(-50.21209, 34.09252, -27.33726)",,True,0.201,0.0283,0.12672710608465532
16,2015-11-13 06:20:37,2015-11-13 06:21:00,2015-11-13 06:21:18,10,0.09399,0.09794,"(10, 80)","(-41.47314, 38.28229, -22.81897)",,True,0.4769,0.1838,0.32208808989576976
17,2015-11-13 06:22:30,2015-11-13 06:23:01,2015-11-13 06:23:15,11,0.15519,0.17243,"(30, 120)","(-34.96109, 60.19206, -41.86371)",,True,-0.5643,-0.2213,0.364025497455636
18,2015-11-13 06:27:45,2015-11-13 06:28:30,2015-11-13 06:29:15,21,0.15333,0.16634,"(20, 120)","(-37.12327, 41.17149, -53.53613)",,True,-0.1832,-0.1842,0.9779892825006758
19,2015-11-13 06:30:00,2015-11-13 06:30:40,2015-11-13 06:31:03,15,0.11786,0.14423,"(60, 140)","(-117.32185, 54.83125, -17.69592)",,True,-0.1801,-0.2673,1.517218490705387
20,2015-11-13 06:32:46,2015-11-13 06:34:43,2015-11-13 06:37:30,64,0.09045,0.13239,"(0, 0)","(-70.60149, 23.01851, -3.80228)",,True,0.351,0.2881,0.6333684105621353
21,2015-11-13 06:41:42,2015-11-13 06:43:48,2015-11-13 06:44:46,42,0.13865,0.17615,"(10, 160)","(-59.14784, -2.00138, -75.77174)",,True,-0.8207,-0.6414,0.8056686129665617
22,2015-11-13 06:46:21,2015-11-13 06:47:01,2015-11-13 06:47:15,13,0.19263,0.142,"(40, 20)","(-40.88211, 22.20117, 0.37527)",,True,0.9266,0.4064,0.48522471960837305
23,2015-11-13 06:55:12,2015-11-13 06:56:19,2015-11-13 06:56:51,23,0.07617,0.15497,"(20, 320)","(-51.80197, 32.32883, -11.8646)",,True,0.6258,0.1631,0.23549313613226222
24,2015-11-13 06:58:43,2015-11-13 06:59:55,2015-11-13 07:00:40,27,0.15719,0.1915,"(10, 240)","(-48.72289, 22.09056, 7.36961)",,True,0.8043,0.3822,0.4916434632613272
25,2015-11-13 07:11:10,2015-11-13 07:11:42,2015-11-13 07:12:18,16,0.15779,0.19254,"(20, 200)","(-53.34412, 44.75372, -14.25492)",,True,0.5008,0.1822,0.2601848649014564
