,startTime,turnTime,endTime,duration,residue_diff,residue_fit,theta_phi,VHT,reduced_residue,topTurn,r,k,MA
0,2020-03-25 05:34:16,2020-03-25 05:34:48,2020-03-25 05:35:06,12,0.12393,0.13408,"(30, 120)","(-345.9489, 14.17831, 1.64879)",,True,-0.8147,-0.6302,0.7077896645665643
1,2020-03-25 05:36:22,2020-03-25 05:36:45,2020-03-25 05:37:21,14,0.15078,0.17344,"(40, 200)","(-339.89719, 10.02234, 3.3366)",,True,-0.897,-0.7877,0.888269874905655
2,2020-03-25 05:41:55,2020-03-25 05:42:49,2020-03-25 05:44:10,31,0.07211,0.10843,"(20, 100)","(-335.01608, 7.60301, 7.14206)",,True,-0.8284,-0.7831,0.8841167585954518
3,2020-03-25 06:11:37,2020-03-25 06:12:00,2020-03-25 06:12:40,15,0.07385,0.19763,"(80, 20)","(-329.48451, -13.37997, 10.0775)",,True,-0.9236,-0.7836,0.8612693990053631
4,2020-03-25 06:15:13,2020-03-25 06:20:19,2020-03-25 06:28:21,176,0.11835,0.19142,"(80, 100)","(-327.99927, -3.11587, 14.52446)",,True,-0.8835,-0.7945,0.8851957827047822
5,2020-03-25 07:11:51,2020-03-25 07:12:09,2020-03-25 07:12:36,11,0.04463,0.05213,"(80, 40)","(-328.38605, -8.90653, 3.11342)",,True,-0.8167,-0.7427,0.8961581275627878
6,2020-03-25 07:26:42,2020-03-25 07:35:10,2020-03-25 07:41:51,203,0.12496,0.19064,"(80, 280)","(-344.80847, -8.73633, -0.32328)",,True,-0.8445,-0.7604,0.866513251989675
7,2020-03-25 07:44:33,2020-03-25 07:45:31,2020-03-25 07:45:58,20,0.11222,0.15305,"(70, 260)","(-341.0864, 3.51005, -0.82947)",,True,-0.8294,-0.78,0.8657008563044866
8,2020-03-25 07:47:10,2020-03-25 07:47:33,2020-03-25 07:47:51,10,0.16523,0.18601,"(40, 200)","(-337.50492, 3.7572, 2.70211)",,True,-0.9698,-0.8608,0.8707714506456382
9,2020-03-25 07:59:51,2020-03-25 08:00:31,2020-03-25 08:00:49,14,0.12358,0.16829,"(70, 80)","(-351.02854, -2.85135, 2.25296)",,True,-0.9365,-0.5714,0.6044147617891419
10,2020-03-25 08:03:13,2020-03-25 08:03:31,2020-03-25 08:04:07,13,0.16632,0.19669,"(80, 80)","(-351.66097, 0.76333, 2.00223)",,True,-0.8901,-0.5801,0.6305580075043438
11,2020-03-25 08:09:13,2020-03-25 08:09:58,2020-03-25 08:10:57,24,0.06635,0.0799,"(80, 240)","(-336.21332, -3.32286, 3.59222)",,True,-0.8362,-0.7201,0.8753605700660304
12,2020-03-25 08:11:46,2020-03-25 08:12:13,2020-03-25 08:12:40,13,0.10151,0.11996,"(80, 200)","(-340.84436, -8.65649, 9.67022)",,True,-0.9506,-0.7998,0.8721918930927394
13,2020-03-25 08:20:24,2020-03-25 08:27:09,2020-03-25 08:32:37,164,0.10208,0.1528,"(80, 240)","(-343.34196, 1.16428, 1.8633)",,True,-0.8016,-0.7349,0.8844423099259308
14,2020-03-25 08:35:33,2020-03-25 08:36:31,2020-03-25 08:38:46,44,0.08441,0.15553,"(70, 120)","(-368.90515, 25.56503, -5.76332)",,True,-0.3548,-0.137,0.32886967561747954
15,2020-03-25 08:42:18,2020-03-25 08:42:45,2020-03-25 08:43:12,13,0.14206,0.15592,"(70, 140)","(-363.48713, 5.54463, 21.53493)",,True,-0.5777,-0.2854,0.4576249906852421
16,2020-03-25 08:49:16,2020-03-25 08:49:30,2020-03-25 08:50:10,13,0.05482,0.04738,"(70, 240)","(-347.15962, -5.94136, 4.87201)",,True,-0.8405,-0.658,0.8748219094289501
17,2020-03-25 08:55:12,2020-03-25 08:55:39,2020-03-25 08:56:19,16,0.09479,0.12841,"(70, 260)","(-345.9512, 7.043, 16.51511)",,True,-0.8574,-0.799,0.8946012429413878
18,2020-03-25 09:02:28,2020-03-25 09:05:28,2020-03-25 09:12:09,130,0.10834,0.15017,"(80, 100)","(-337.07846, 15.01883, 7.42815)",,True,-0.8625,-0.7556,0.8931521560216711
19,2020-03-25 09:25:30,2020-03-25 09:27:58,2020-03-25 09:32:01,88,0.11075,0.15969,"(80, 120)","(-362.88222, 15.01436, 5.17973)",,True,-0.5127,-0.2511,0.45880418728334377
20,2020-03-25 09:34:52,2020-03-25 09:35:28,2020-03-25 09:35:51,14,0.05125,0.09781,"(80, 220)","(-346.24191, 9.53467, 7.33258)",,True,-0.8929,-0.7125,0.7848454782236592
21,2020-03-25 10:00:18,2020-03-25 10:00:58,2020-03-25 10:01:30,17,0.12381,0.12571,"(80, 300)","(-366.4166, 12.38538, 7.12832)",,True,-0.5602,-0.1933,0.26871319349014894
22,2020-03-25 10:04:25,2020-03-25 10:04:57,2020-03-25 10:06:09,24,0.11818,0.16783,"(70, 260)","(-365.1894, 16.2113, 7.37942)",,True,-0.2783,-0.1194,0.331472595909492
23,2020-03-25 10:09:40,2020-03-25 10:10:16,2020-03-25 10:10:57,18,0.07834,0.0935,"(70, 280)","(-375.20767, 27.74859, -2.77172)",,True,0.0967,0.0577,0.39718229176638387
24,2020-03-25 10:15:13,2020-03-25 10:17:46,2020-03-25 10:29:15,188,0.12899,0.19197,"(80, 240)","(-362.9882, 4.6348, 4.47014)",,True,-0.5037,-0.2821,0.48282087606471336
25,2020-03-25 10:32:10,2020-03-25 10:32:51,2020-03-25 10:33:18,16,0.12755,0.16536,"(80, 120)","(-364.56823, 14.08726, 4.42234)",,True,-0.13,-0.0689,0.47494094613990506
26,2020-03-25 10:35:06,2020-03-25 10:36:09,2020-03-25 10:37:57,39,0.17509,0.18858,"(80, 280)","(-362.65839, 16.40491, 7.24722)",,True,-0.4598,-0.2177,0.3611118017984605
