,startTime,turnTime,endTime,duration,residue_diff,residue_fit,theta_phi,VHT,reduced_residue,topTurn,r,k,MA
0,2016-11-24 06:15:27,2016-11-24 06:15:58,2016-11-24 06:16:30,15,0.14538,0.17911,"(10, 100)","(-84.75799, 140.48634, -120.62339)",,True,-0.9199,-0.4995,0.5428703988336642
1,2016-11-24 06:16:39,2016-11-24 06:27:58,2016-11-24 06:31:21,197,0.11024,0.1628,"(50, 140)","(-67.90144, 89.91247, -20.80447)",,True,-0.4019,-0.1075,0.22145225753369402
2,2016-11-24 06:47:33,2016-11-24 06:48:49,2016-11-24 06:49:34,28,0.08346,0.1145,"(50, 180)","(-50.57371, 41.95011, 25.32923)",,True,0.6269,0.2526,0.4810300992569594
3,2016-11-24 06:50:51,2016-11-24 06:51:13,2016-11-24 06:51:58,16,0.04863,0.08741,"(80, 160)","(-60.94356, 61.02916, 5.09427)",,True,-0.0325,-0.0106,0.3084641090919803
4,2016-11-24 06:57:04,2016-11-24 06:57:54,2016-11-24 06:58:39,22,0.06349,0.08544,"(70, 140)","(-67.20973, 150.17503, -102.52919)",,True,-0.8703,-0.4428,0.5132098148420468
5,2016-11-24 07:06:40,2016-11-24 07:07:57,2016-11-24 07:10:34,53,0.12606,0.16764,"(10, 200)","(-26.32291, 104.41753, 38.55355)",,True,0.5407,0.2596,0.42698807788114446
6,2016-11-24 07:12:04,2016-11-24 07:12:31,2016-11-24 07:12:58,13,0.09895,0.16403,"(50, 260)","(-24.86345, 175.43048, 59.73455)",,True,-0.8324,-0.3097,0.3316221935499899
7,2016-11-24 07:13:12,2016-11-24 07:17:51,2016-11-24 07:30:04,226,0.15161,0.14607,"(60, 100)","(-52.60957, 121.46344, 37.42106)",,True,-0.2896,-0.1095,0.4210078378064134
8,2016-11-24 07:31:07,2016-11-24 07:33:27,2016-11-24 07:37:34,87,0.1008,0.16488,"(20, 80)","(-89.30762, 109.76227, 27.40548)",,True,0.2049,0.1398,0.6717510908811781
9,2016-11-24 07:38:51,2016-11-24 07:39:13,2016-11-24 07:40:03,17,0.05498,0.13013,"(20, 80)","(-24.14731, 74.85691, 77.34798)",,True,-0.5056,-0.1139,0.2041748159161052
