,startTime,turnTime,endTime,duration,residue_diff,residue_fit,theta_phi,VHT,reduced_residue,topTurn,r,k,MA
0,2024-01-11 21:16:25,2024-01-11 21:18:22,2024-01-11 21:20:24,54,0.12782,0.19949,"(70, 80)","(-463.30835, 82.90596, 17.26707)",,True,-0.9949,-0.8507,0.8577341058372817
1,2024-01-11 21:21:58,2024-01-11 21:22:21,2024-01-11 21:22:39,10,0.08984,0.17898,"(80, 120)","(-461.00584, 82.32502, 18.61098)",,True,-0.9952,-0.8204,0.8240773819887567
2,2024-01-11 21:23:19,2024-01-11 21:24:00,2024-01-11 21:24:49,21,0.09944,0.18205,"(80, 20)","(-464.50319, 80.10575, 17.0853)",,True,-0.9875,-0.8214,0.8108653111073891
3,2024-01-11 21:27:36,2024-01-11 21:28:39,2024-01-11 21:29:33,27,0.14652,0.16794,"(50, 260)","(-452.77532, 82.49926, 0.07433)",,True,-0.8864,-0.575,0.663223126044761
4,2024-01-11 21:31:16,2024-01-11 21:31:48,2024-01-11 21:32:19,15,0.09773,0.15461,"(80, 300)","(-413.45843, 98.3759, 4.29013)",,True,0.2135,0.0867,0.34343125039059297
5,2024-01-11 21:33:13,2024-01-11 21:33:58,2024-01-11 21:34:43,21,0.13371,0.17022,"(80, 200)","(-382.30634, 111.46829, 15.62942)",,True,0.9014,0.6901,0.7088631177945407
6,2024-01-11 21:35:06,2024-01-11 21:35:33,2024-01-11 21:35:55,12,0.08001,0.10148,"(80, 80)","(-405.557, 100.52018, 12.66414)",,True,0.0473,0.0233,0.3469520289417367
7,2024-01-11 21:40:16,2024-01-11 21:42:58,2024-01-11 21:44:55,63,0.08363,0.16756,"(60, 40)","(-409.87059, 71.21925, 18.32674)",,True,0.067,0.0408,0.40920985477533506
8,2024-01-11 21:47:37,2024-01-11 21:54:40,2024-01-11 22:03:09,208,0.10933,0.13943,"(80, 160)","(-422.69965, 89.07158, 18.73541)",,True,-0.396,-0.1606,0.37714347248329794
9,2024-01-11 22:11:06,2024-01-11 22:11:51,2024-01-11 22:12:09,15,0.13582,0.19383,"(80, 40)","(-452.32638, 79.70646, 14.30197)",,True,-0.9941,-0.872,0.877821954033661
10,2024-01-11 22:25:52,2024-01-11 22:27:04,2024-01-11 22:28:16,33,0.10317,0.17386,"(70, 100)","(-456.5658, 78.30391, 13.72224)",,True,-0.996,-0.8507,0.853529822856524
11,2024-01-11 22:34:25,2024-01-11 22:34:57,2024-01-11 22:35:51,20,0.06925,0.1618,"(70, 280)","(-457.5223, 77.54054, 14.30856)",,True,-0.9923,-0.7682,0.7622375065863349
12,2024-01-11 22:39:58,2024-01-11 22:40:30,2024-01-11 22:40:39,10,0.09846,0.06794,"(80, 220)","(-456.74612, 77.18855, 15.37711)",,True,-0.9947,-0.7939,0.8050081203930664
