,startTime,turnTime,endTime,duration,residue_diff,residue_fit,theta_phi,VHT,reduced_residue,topTurn,r,k,MA
0,2017-12-30 13:28:43,2017-12-30 13:29:01,2017-12-30 13:29:42,14,0.14366,0.18273,"(80, 300)","(-347.72247, 41.23837, -17.13438)",,True,0.9971,0.5554,0.5572471402549681
1,2017-12-30 13:42:13,2017-12-30 13:43:30,2017-12-30 13:44:42,34,0.09834,0.15122,"(80, 260)","(-352.65892, 12.60029, -14.02024)",,True,0.9559,0.2396,0.246087417772872
2,2017-12-30 13:51:22,2017-12-30 13:52:57,2017-12-30 13:53:46,33,0.0782,0.11896,"(80, 80)","(-347.15579, 13.17285, -11.65778)",,True,0.8453,0.2825,0.2629986036812819
3,2017-12-30 13:58:43,2017-12-30 13:58:57,2017-12-30 13:59:28,11,0.17519,0.10635,"(80, 40)","(-361.52815, 4.22604, -15.18496)",,True,-0.9187,-0.1715,0.17495388081314117
4,2017-12-30 14:06:18,2017-12-30 14:07:30,2017-12-30 14:08:01,24,0.1552,0.17432,"(60, 100)","(-360.30323, 10.3903, -12.71012)",,True,0.0693,0.0103,0.08338059083691951
5,2017-12-30 14:10:57,2017-12-30 14:12:13,2017-12-30 14:14:19,46,0.12691,0.19975,"(70, 40)","(-359.85188, 10.0034, -11.12134)",,True,0.0638,0.0082,0.10653413287839505
6,2017-12-30 14:34:39,2017-12-30 14:46:34,2017-12-30 14:55:21,277,0.09823,0.12635,"(30, 40)","(-359.74429, 7.16631, -12.66997)",,True,0.7196,0.1418,0.17057456830744777
7,2017-12-30 15:06:54,2017-12-30 15:07:07,2017-12-30 15:07:39,11,0.12612,0.19371,"(60, 60)","(-366.2283, -3.54054, -20.02894)",,True,-0.9752,-0.4288,0.439705479269089
8,2017-12-30 15:08:33,2017-12-30 15:09:13,2017-12-30 15:09:36,15,0.11636,0.198,"(50, 120)","(-359.51423, 6.88984, -15.82014)",,True,0.4824,0.0741,0.10780658801888711
9,2017-12-30 15:15:18,2017-12-30 15:15:49,2017-12-30 15:16:21,15,0.08365,0.16932,"(40, 20)","(-350.84015, 19.92325, 5.60978)",,True,0.9946,0.8498,0.8473690462093582
10,2017-12-30 15:24:31,2017-12-30 15:27:18,2017-12-30 15:32:24,106,0.04858,0.09579,"(70, 40)","(-355.3915, 6.6246, -11.27298)",,True,-0.4917,-0.1028,0.17390529365348414
11,2017-12-30 15:42:36,2017-12-30 15:51:04,2017-12-30 15:58:07,208,0.05678,0.07983,"(60, 40)","(-357.70067, 3.56623, -15.23527)",,True,-0.7421,-0.174,0.20174131078623192
12,2017-12-30 16:02:15,2017-12-30 16:03:04,2017-12-30 16:03:36,19,0.05608,0.14828,"(60, 140)","(-355.20362, 5.57406, -9.14511)",,True,-0.4182,-0.0762,0.11920369288468886
13,2017-12-30 16:03:40,2017-12-30 16:04:03,2017-12-30 16:04:21,10,0.06203,0.14415,"(70, 100)","(-362.33637, -7.5911, -19.59232)",,True,-0.9716,-0.5135,0.5182868897837503
14,2017-12-30 16:13:57,2017-12-30 16:14:33,2017-12-30 16:15:04,16,0.11359,0.18333,"(80, 240)","(-378.41532, 31.93333, -17.87049)",,True,0.9893,0.7452,0.7451062192847462
15,2017-12-30 16:21:18,2017-12-30 16:21:40,2017-12-30 16:22:12,13,0.09965,0.07567,"(80, 60)","(-361.39848, 3.14081, -17.31759)",,True,-0.6273,-0.0651,0.08959417956578582
16,2017-12-30 16:24:40,2017-12-30 16:24:58,2017-12-30 16:25:21,10,0.10589,0.09244,"(80, 20)","(-363.06428, 0.68212, -20.71289)",,True,-0.6646,-0.0548,0.06830561420474567
17,2017-12-30 17:08:51,2017-12-30 17:20:46,2017-12-30 17:34:16,340,0.06893,0.11541,"(60, 100)","(-372.29567, 19.60372, -1.11757)",,True,0.8864,0.4083,0.4508902819716338
18,2017-12-30 17:41:46,2017-12-30 17:47:37,2017-12-30 17:57:49,215,0.14786,0.19451,"(60, 60)","(-359.68628, 20.80343, -0.54991)",,True,0.9391,0.5189,0.5537340077355086
19,2017-12-30 17:58:34,2017-12-30 18:04:21,2017-12-30 18:08:24,132,0.0885,0.14099,"(70, 120)","(-360.60279, 27.42196, 5.8971)",,True,0.9759,0.7341,0.7668890955886243
20,2017-12-30 18:09:45,2017-12-30 18:16:30,2017-12-30 18:22:07,166,0.09412,0.12353,"(60, 120)","(-362.394, 9.88632, -4.82615)",,True,0.7187,0.2453,0.2596264439827045
21,2017-12-30 18:32:51,2017-12-30 18:33:13,2017-12-30 18:33:49,14,0.13248,0.17294,"(70, 100)","(-370.18686, 22.57443, -0.80035)",,True,0.9926,0.6731,0.6692531512220992
22,2017-12-30 18:44:15,2017-12-30 18:44:42,2017-12-30 18:45:54,23,0.10818,0.19925,"(60, 80)","(-371.0289, 18.34457, -2.38541)",,True,0.975,0.5404,0.5367172711346214
23,2017-12-30 18:49:43,2017-12-30 18:55:12,2017-12-30 19:01:16,155,0.10881,0.159,"(60, 100)","(-364.36723, 25.4594, 3.71884)",,True,0.9721,0.8047,0.8275094105404751
