,startTime,turnTime,endTime,duration,residue_diff,residue_fit,theta_phi,VHT,reduced_residue,topTurn,r,k,MA
0,2021-03-19 17:17:51,2021-03-19 17:18:13,2021-03-19 17:18:49,14,0.19715,0.17592,"(20, 340)","(-279.42786, 0.71521, -17.23054)",,True,0.9732,0.5833,0.5905285745607175
1,2021-03-19 17:25:03,2021-03-19 17:25:34,2021-03-19 17:25:48,11,0.12791,0.1172,"(20, 340)","(-258.69938, 4.15103, -36.33548)",,True,-0.6348,-0.1285,0.18089959503286393
2,2021-03-19 17:59:33,2021-03-19 18:00:45,2021-03-19 18:02:28,40,0.08783,0.12978,"(10, 160)","(-274.22927, -6.90239, -8.1518)",,True,-0.5595,-0.1975,0.3500980263067223
3,2021-03-19 18:14:06,2021-03-19 18:14:37,2021-03-19 18:14:46,10,0.07859,0.10884,"(30, 0)","(-274.8421, -2.60481, -18.84473)",,True,-0.4059,-0.2674,0.5507228673414079
4,2021-03-19 18:18:27,2021-03-19 18:19:03,2021-03-19 18:19:30,15,0.14672,0.18547,"(50, 20)","(-273.74438, -4.80659, -10.20053)",,True,-0.0024,-0.0012,0.38968573244162763
5,2021-03-19 18:20:06,2021-03-19 18:21:04,2021-03-19 18:21:45,23,0.081,0.14266,"(50, 140)","(-274.08836, -0.35622, -9.83236)",,True,-0.2646,-0.08,0.30178822872368744
6,2021-03-19 18:22:25,2021-03-19 18:22:48,2021-03-19 18:23:06,10,0.08213,0.0846,"(40, 160)","(-273.92982, -0.81696, -12.34218)",,True,-0.2862,-0.1412,0.5322828527363568
7,2021-03-19 18:23:33,2021-03-19 18:23:46,2021-03-19 18:24:13,10,0.15801,0.17218,"(50, 40)","(-278.3973, 1.62562, -17.97349)",,True,-0.5035,-0.1739,0.2563313078345473
8,2021-03-19 18:28:21,2021-03-19 18:33:04,2021-03-19 18:36:18,107,0.15606,0.15087,"(30, 140)","(-274.85251, -9.47552, -17.38001)",,True,-0.3775,-0.2059,0.5160840873658663
9,2021-03-19 18:40:16,2021-03-19 18:40:48,2021-03-19 18:41:15,14,0.18228,0.1871,"(70, 20)","(-270.42879, -4.83699, -4.93972)",,True,-0.5884,-0.2539,0.3808638219075276
10,2021-03-19 18:44:06,2021-03-19 18:44:37,2021-03-19 18:45:04,14,0.04696,0.06887,"(50, 100)","(-278.26222, 2.46103, -7.74316)",,True,-0.1819,-0.0591,0.35061313835150815
11,2021-03-19 18:45:13,2021-03-19 18:47:06,2021-03-19 18:48:36,46,0.16815,0.1942,"(60, 180)","(-272.91178, 6.2232, -7.00652)",,True,-0.2309,-0.1412,0.5312145184194058
12,2021-03-19 18:57:18,2021-03-19 18:57:40,2021-03-19 18:58:48,21,0.1456,0.13241,"(50, 200)","(-281.00728, 4.77783, -12.0029)",,True,-0.5104,-0.2705,0.4018472359285439
13,2021-03-19 19:03:22,2021-03-19 19:03:40,2021-03-19 19:04:16,13,0.14013,0.17941,"(10, 280)","(-293.25033, -3.5545, -0.48553)",,True,0.9781,0.885,0.8879217795639803
14,2021-03-19 19:04:30,2021-03-19 19:04:57,2021-03-19 19:05:10,10,0.11181,0.11653,"(20, 320)","(-267.14014, 2.25986, -21.73682)",,True,0.9529,0.7892,0.783520999618623
15,2021-03-19 19:12:49,2021-03-19 19:14:19,2021-03-19 19:16:03,44,0.07986,0.10213,"(40, 340)","(-297.31824, -4.19767, 5.91904)",,True,0.9378,0.8349,0.8495570022960469
16,2021-03-19 19:17:15,2021-03-19 19:20:42,2021-03-19 19:21:45,61,0.10044,0.12794,"(20, 240)","(-279.10475, 2.14122, -14.24117)",,True,0.8497,0.7867,0.8165107983821674
17,2021-03-19 19:44:42,2021-03-19 19:47:10,2021-03-19 19:47:51,43,0.15024,0.17174,"(20, 200)","(-279.04671, -3.42455, -4.67917)",,True,0.0892,0.0689,0.7155536514127173
18,2021-03-19 20:01:03,2021-03-19 20:01:12,2021-03-19 20:01:52,12,0.11821,0.12126,"(30, 80)","(-259.4918, 5.77266, -8.70665)",,True,-0.9367,-0.6442,0.6856781330547104
19,2021-03-19 20:02:01,2021-03-19 20:02:37,2021-03-19 20:03:04,15,0.13761,0.16335,"(50, 0)","(-271.54564, 7.2132, -7.12877)",,True,-0.5595,-0.2625,0.4533256389427635
20,2021-03-19 20:03:27,2021-03-19 20:03:45,2021-03-19 20:04:07,10,0.0708,0.08179,"(50, 80)","(-273.00011, 6.95618, -5.86309)",,True,-0.3442,-0.1224,0.31268819904267475
21,2021-03-19 20:06:45,2021-03-19 20:07:03,2021-03-19 20:07:39,13,0.11222,0.11311,"(10, 200)","(-281.40106, 0.31674, -8.51195)",,True,0.2732,0.0883,0.29915267294072395
22,2021-03-19 20:23:10,2021-03-19 20:27:49,2021-03-19 20:32:28,125,0.11206,0.19346,"(50, 160)","(-268.73776, -1.03613, -12.07938)",,True,-0.4343,-0.2636,0.5662258432190349
23,2021-03-19 20:33:45,2021-03-19 20:34:16,2021-03-19 20:34:39,13,0.14188,0.17579,"(80, 0)","(-264.53182, 2.02508, -18.23218)",,True,-0.5046,-0.2944,0.5587416160106939
24,2021-03-19 20:35:51,2021-03-19 20:36:31,2021-03-19 20:38:28,36,0.14156,0.19851,"(10, 40)","(-264.14394, -1.84345, -3.58662)",,True,-0.5011,-0.2754,0.5397208097964443
