,startTime,turnTime,endTime,duration,residue_diff,residue_fit,theta_phi,VHT,reduced_residue,topTurn,r,k,MA
0,2008-05-22 12:05:40,2008-05-22 12:06:58,2008-05-22 12:09:22,74,0.05239,0.08956,"(60, 20)","(-527.70428, 85.24233, -5.40982)",,True,0.2518,0.025,0.07107086178953118
1,2008-05-22 12:10:22,2008-05-22 12:10:40,2008-05-22 12:10:55,12,0.082,0.09502,"(40, 220)","(-522.99476, 82.74007, 7.03689)",,True,-0.5237,-0.0031,0.0058721798129440705
2,2008-05-22 12:11:01,2008-05-22 12:11:16,2008-05-22 12:11:37,12,0.12094,0.16513,"(30, 260)","(-521.6472, 81.5472, 8.23566)",,True,-0.9613,-0.0194,0.02007933512153365
3,2008-05-22 12:13:49,2008-05-22 12:14:31,2008-05-22 12:14:49,21,0.11249,0.08938,"(40, 140)","(-523.491, 76.23923, 18.12725)",,True,0.9457,0.034,0.03659337925898641
4,2008-05-22 12:17:52,2008-05-22 12:18:52,2008-05-22 12:19:13,28,0.11017,0.09867,"(40, 60)","(-535.16929, 85.40504, 0.08692)",,True,0.8663,0.0582,0.06446694643858135
5,2008-05-22 12:26:07,2008-05-22 12:28:31,2008-05-22 12:40:55,296,0.10272,0.18589,"(10, 280)","(-519.37323, 83.78217, -9.69147)",,True,0.5912,0.0947,0.14874146451832537
6,2008-05-22 12:47:19,2008-05-22 12:48:07,2008-05-22 12:49:04,36,0.09833,0.14821,"(80, 220)","(-525.50647, 70.64052, 24.71721)",,True,0.9614,0.047,0.05400797307323712
7,2008-05-22 12:50:31,2008-05-22 12:51:04,2008-05-22 12:51:46,25,0.15551,0.16669,"(80, 220)","(-525.90801, 64.04562, 30.89012)",,True,0.3949,0.0054,0.008570726482930134
8,2008-05-22 13:03:01,2008-05-22 13:04:04,2008-05-22 13:04:46,36,0.10998,0.14017,"(80, 120)","(-519.29984, 69.27737, 26.00223)",,True,-0.9472,-0.018,0.018063586814865622
9,2008-05-22 13:13:13,2008-05-22 13:17:43,2008-05-22 13:19:31,127,0.18296,0.15972,"(80, 80)","(-528.35074, 78.13967, 33.93761)",,True,0.8785,0.1206,0.13624133406324068
10,2008-05-22 13:20:28,2008-05-22 13:26:19,2008-05-22 13:28:25,159,0.18375,0.12789,"(30, 240)","(-527.63368, 76.95816, 39.70824)",,True,0.8296,0.1021,0.11875960077125017
11,2008-05-22 13:35:13,2008-05-22 13:35:22,2008-05-22 13:35:40,10,0.13114,0.16936,"(70, 280)","(-528.74071, 70.41677, 43.8202)",,True,0.8455,0.0179,0.02624107835587893
12,2008-05-22 13:38:25,2008-05-22 13:38:34,2008-05-22 13:38:58,12,0.15882,0.19202,"(60, 280)","(-523.2066, 73.31136, 61.6049)",,True,0.9283,0.0143,0.01626443447370113
13,2008-05-22 14:03:40,2008-05-22 14:03:55,2008-05-22 14:04:25,15,0.11453,0.19304,"(80, 140)","(-514.2868, 67.90672, 30.08227)",,True,-0.9755,-0.0227,0.0229791097431103
14,2008-05-22 14:05:10,2008-05-22 14:06:01,2008-05-22 14:07:25,46,0.11329,0.17183,"(80, 140)","(-515.76616, 73.009, 32.6681)",,True,0.8302,0.0218,0.024135082392244645
15,2008-05-22 14:14:22,2008-05-22 14:14:43,2008-05-22 14:14:55,12,0.19569,0.19725,"(60, 120)","(-509.5416, 73.25645, 44.36834)",,True,-0.9916,-0.0254,0.025248163246818858
16,2008-05-22 14:20:01,2008-05-22 14:20:22,2008-05-22 14:20:43,14,0.12168,0.17482,"(70, 260)","(-518.64063, 82.68732, 28.28529)",,True,0.963,0.0956,0.11294634229276876
17,2008-05-22 14:24:31,2008-05-22 14:24:40,2008-05-22 14:25:16,15,0.07508,0.10127,"(50, 320)","(-516.16623, 80.70683, 5.02143)",,True,0.9593,0.0547,0.055063625673090075
18,2008-05-22 14:27:46,2008-05-22 14:28:07,2008-05-22 14:28:31,15,0.18586,0.19947,"(70, 100)","(-515.51599, 85.42144, -6.251)",,True,0.9894,0.0785,0.07941541220572322
19,2008-05-22 14:35:04,2008-05-22 14:39:31,2008-05-22 14:41:01,120,0.1316,0.15544,"(80, 140)","(-519.34646, 80.7607, 10.44733)",,True,0.8541,0.0854,0.09095207206747116
20,2008-05-22 14:48:37,2008-05-22 14:52:01,2008-05-22 14:57:04,170,0.18614,0.17427,"(80, 140)","(-527.69915, 92.60642, 5.5397)",,True,0.9321,0.2946,0.29942912973852753
21,2008-05-22 14:59:46,2008-05-22 15:02:43,2008-05-22 15:05:31,116,0.16288,0.19592,"(80, 40)","(-510.03901, 72.7637, 12.41153)",,True,-0.9466,-0.0848,0.08793862353073328
22,2008-05-22 15:14:31,2008-05-22 15:16:34,2008-05-22 15:19:22,98,0.10653,0.15534,"(80, 140)","(-514.56654, 79.67365, 21.91069)",,True,0.8583,0.0266,0.028553837047752606
23,2008-05-22 15:30:10,2008-05-22 15:34:01,2008-05-22 15:38:04,159,0.18348,0.18519,"(80, 120)","(-512.55954, 80.30459, 15.41438)",,True,0.8634,0.0471,0.05252406115234088
24,2008-05-22 15:40:10,2008-05-22 15:42:31,2008-05-22 15:43:31,68,0.12396,0.14996,"(80, 140)","(-520.54277, 89.79323, 15.72955)",,True,0.8356,0.1627,0.18631295862138275
25,2008-05-22 15:45:04,2008-05-22 15:47:01,2008-05-22 15:53:46,174,0.17914,0.18501,"(50, 20)","(-527.59485, 91.96258, -5.00161)",,True,0.926,0.2881,0.29567858455436036
26,2008-05-22 15:59:58,2008-05-22 16:00:28,2008-05-22 16:00:58,21,0.15256,0.16558,"(50, 100)","(-557.47859, 89.85832, 9.58476)",,True,-0.7341,-0.0062,0.0070177710690858515
27,2008-05-22 16:04:43,2008-05-22 16:05:10,2008-05-22 16:05:28,15,0.17389,0.16114,"(50, 120)","(-552.19337, 88.10364, 13.12637)",,True,0.9896,0.024,0.023957589276470178
28,2008-05-22 16:22:34,2008-05-22 16:26:37,2008-05-22 16:30:58,168,0.13468,0.16757,"(60, 100)","(-533.72778, 98.19521, 28.01702)",,True,0.306,0.0631,0.12550327857032811
29,2008-05-22 16:33:01,2008-05-22 16:36:10,2008-05-22 16:41:35,172,0.10992,0.18988,"(70, 60)","(-552.63058, 91.63452, -26.08589)",,True,-0.2497,-0.0739,0.21058401119416456
