,startTime,turnTime,endTime,duration,residue_diff,residue_fit,theta_phi,VHT,reduced_residue,topTurn,r,k,MA
0,2022-12-20 07:16:16,2022-12-20 07:24:18,2022-12-20 07:36:09,266,0.14725,0.18573,"(80, 280)","(-358.29604, 71.85818, -26.5541)",,True,0.9898,0.6304,0.643501743616591
1,2022-12-20 07:43:12,2022-12-20 07:57:04,2022-12-20 08:07:52,330,0.12549,0.15358,"(80, 280)","(-352.75294, 45.0378, -23.17411)",,True,0.9728,0.3631,0.37500028166573174
2,2022-12-20 08:09:36,2022-12-20 08:10:12,2022-12-20 08:10:30,13,0.12135,0.18618,"(80, 280)","(-357.93315, 43.36876, -26.71241)",,True,0.9802,0.3201,0.3257733495309805
3,2022-12-20 08:41:15,2022-12-20 08:53:24,2022-12-20 09:06:09,333,0.10507,0.15375,"(70, 280)","(-351.35102, 23.96251, -22.85792)",,True,0.8922,0.1906,0.20106084433774188
4,2022-12-20 09:27:18,2022-12-20 09:38:10,2022-12-20 09:50:24,309,0.10923,0.17217,"(40, 300)","(-360.38308, 45.21622, -38.39579)",,True,0.9944,0.5771,0.5787391482112101
5,2022-12-20 11:06:09,2022-12-20 11:18:18,2022-12-20 11:31:25,338,0.12828,0.16807,"(30, 260)","(-356.38064, 38.97136, -34.44236)",,True,0.9921,0.6385,0.6444503020680665
6,2022-12-20 11:34:21,2022-12-20 11:46:30,2022-12-20 11:57:40,312,0.09503,0.12679,"(20, 300)","(-350.29156, 31.01423, -22.85347)",,True,0.992,0.4985,0.49828105269668765
7,2022-12-20 12:21:09,2022-12-20 12:32:42,2022-12-20 12:43:21,297,0.1526,0.14838,"(10, 140)","(-343.99268, 28.29828, 1.58971)",,True,0.9417,0.2796,0.2961755386228951
8,2022-12-20 13:29:55,2022-12-20 13:40:48,2022-12-20 13:54:54,334,0.11999,0.16174,"(40, 300)","(-353.26957, 26.7545, -1.19828)",,True,0.9209,0.3458,0.36907694212401476
9,2022-12-20 14:03:49,2022-12-20 14:09:22,2022-12-20 14:16:07,165,0.11037,0.14743,"(80, 180)","(-349.31543, 13.06991, 3.12934)",,True,-0.0475,-0.0121,0.2607819035505681
10,2022-12-20 14:17:15,2022-12-20 14:25:25,2022-12-20 14:42:49,342,0.13696,0.14982,"(20, 20)","(-354.12121, 23.46059, -5.48402)",,True,0.9513,0.255,0.2614273368144056
11,2022-12-20 14:59:01,2022-12-20 15:02:06,2022-12-20 15:04:07,69,0.1411,0.19698,"(40, 140)","(-357.51268, 30.22947, 0.52457)",,True,0.9664,0.2252,0.23019361387381898
12,2022-12-20 15:23:33,2022-12-20 15:34:25,2022-12-20 15:49:07,342,0.06977,0.12321,"(50, 280)","(-353.78237, 31.80964, -0.21943)",,True,-0.1664,-0.045,0.26225785188683626
13,2022-12-20 15:51:22,2022-12-20 15:51:45,2022-12-20 15:52:03,10,0.09703,0.16309,"(20, 340)","(-348.76626, 17.83033, -34.53115)",,True,0.99,0.6335,0.6389400672433074
14,2022-12-20 15:56:51,2022-12-20 16:00:18,2022-12-20 16:02:24,75,0.12182,0.19154,"(70, 300)","(-357.65772, 23.3459, -9.25128)",,True,0.7529,0.224,0.2637215833068616
15,2022-12-20 16:17:46,2022-12-20 16:22:30,2022-12-20 16:28:03,138,0.09874,0.13774,"(80, 120)","(-363.7328, 36.63005, -22.04163)",,True,0.5261,0.2011,0.3934161103768413
16,2022-12-20 16:29:33,2022-12-20 16:30:04,2022-12-20 16:30:40,16,0.14569,0.18693,"(70, 120)","(-352.2659, 26.31719, -23.94606)",,True,0.1891,0.0251,0.11922492258009267
17,2022-12-20 16:32:37,2022-12-20 16:33:45,2022-12-20 16:34:21,24,0.18868,0.18301,"(80, 140)","(-374.60711, 59.21765, 2.74112)",,True,0.9142,0.3494,0.37448985800048185
