,true,timeRange,false
105~119,"[(20210126212104, 20210126212503, 20210126212946, 117, True, 0.18782, 0.19901, (30, 140), (-133.74304, -34.71254, 130.69128))]",,
117~131,"[(20210126210636, 20210126211245, 20210126211616, 130, True, 0.12626, 0.18903, (60, 80), (-117.73747, -43.01035, 150.29496)), (20210126210730, 20210126211240, 20210126211616, 118, True, 0.12529, 0.19138, (60, 80), (-115.84813, -42.25618, 151.16628)), (20210126213443, 20210126213949, 20210126214325, 117, True, 0.16203, 0.19553, (40, 180), (-160.66751, -45.0741, 135.97779)), (20210126213452, 20210126213949, 20210126214357, 122, True, 0.17642, 0.20574, (30, 140), (-161.22021, -45.25373, 135.76826)), (20210126214701, 20210126214925, 20210126215606, 122, True, 0.10339, 0.1711, (70, 80), (-143.34078, -64.05175, 96.01877))]",,
126~172,"[(20210126210636, 20210126211240, 20210126211603, 127, True, 0.12697, 0.19281, (60, 80), (-112.07354, -45.27287, 136.66094)), (20210126210636, 20210126211240, 20210126211607, 128, True, 0.12644, 0.1946, (60, 80), (-118.82083, -40.22128, 151.90627)), (20210126210640, 20210126211245, 20210126211603, 126, True, 0.12744, 0.19122, (60, 80), (-118.69489, -40.27939, 151.99056)), (20210126211245, 20210126211845, 20210126212248, 135, True, 0.12032, 0.17861, (70, 60), (-115.46286, -42.66738, 150.69132)), (20210126212606, 20210126213009, 20210126213855, 172, True, 0.13379, 0.20894, (80, 60), (-138.30957, -45.24784, 117.56864)), (20210126213134, 20210126213949, 20210126214231, 147, True, 0.16829, 0.19114, (40, 180), (-149.93226, -47.02372, 128.32527))]",,
170~216,"[(20210126210157, 20210126211106, 20210126211612, 191, True, 0.12801, 0.15026, (30, 160), (-110.77763, -46.07961, 134.4206)), (20210126210157, 20210126211142, 20210126211648, 199, True, 0.09888, 0.14135, (30, 140), (-110.59502, -45.55542, 134.71611)), (20210126210340, 20210126211204, 20210126211710, 181, True, 0.09935, 0.15616, (60, 80), (-110.84749, -45.42334, 134.51822)), (20210126210157, 20210126211142, 20210126211737, 210, True, 0.09906, 0.14056, (30, 140), (-111.08374, -44.90769, 134.72185)), (20210126210224, 20210126211142, 20210126211630, 189, True, 0.09414, 0.14, (30, 140), (-112.70346, -42.62849, 140.79745)), (20210126210246, 20210126211204, 20210126211822, 209, True, 0.1012, 0.15993, (60, 80), (-112.52539, -43.17512, 138.77578)), (20210126210313, 20210126211142, 20210126211634, 179, True, 0.10184, 0.14142, (30, 140), (-113.20089, -42.08364, 139.38582)), (20210126210331, 20210126211200, 20210126211634, 175, True, 0.09894, 0.14134, (30, 140), (-113.43522, -41.87143, 139.533))]",,
212~258,"[(20210126210130, 20210126211200, 20210126212010, 250, True, 0.11536, 0.15592, (60, 80), (-111.92557, -43.90405, 136.51896)), (20210126210152, 20210126211200, 20210126211813, 219, True, 0.10293, 0.14202, (30, 140), (-111.82866, -44.19783, 137.28597)), (20210126210157, 20210126211204, 20210126211939, 237, True, 0.10845, 0.1622, (60, 80), (-111.98555, -43.94315, 138.04735)), (20210126210251, 20210126211200, 20210126212042, 239, True, 0.11313, 0.15458, (40, 100), (-112.50781, -43.04103, 138.48864)), (20210126210255, 20210126211204, 20210126212037, 237, True, 0.11547, 0.15603, (40, 100), (-112.46501, -43.28665, 137.74506)), (20210126210331, 20210126211142, 20210126212028, 227, True, 0.09778, 0.1532, (40, 100), (-113.47621, -42.69389, 137.42805)), (20210126210354, 20210126211200, 20210126212019, 220, True, 0.09862, 0.14959, (40, 100), (-114.75018, -41.97717, 138.80222)), (20210126210358, 20210126211204, 20210126212015, 218, True, 0.10568, 0.15137, (40, 100), (-115.37577, -41.99703, 139.79247))]",,
256~302,"[(20210126210125, 20210126211200, 20210126212243, 285, True, 0.10883, 0.15382, (40, 100), (-111.99548, -43.56283, 135.66426)), (20210126210121, 20210126211204, 20210126212248, 287, True, 0.11315, 0.15512, (40, 100), (-112.10531, -43.3409, 135.78361)), (20210126210058, 20210126211142, 20210126212319, 299, True, 0.10877, 0.15698, (40, 100), (-113.11984, -42.83133, 136.4394)), (20210126210116, 20210126211200, 20210126212225, 283, True, 0.1121, 0.15485, (40, 100), (-113.26899, -43.01263, 135.84234)), (20210126210121, 20210126211204, 20210126212212, 279, True, 0.11198, 0.15501, (40, 100), (-113.21835, -43.15996, 135.30918))]",,
298~344,"[(20210126210022, 20210126211115, 20210126212319, 307, True, 0.11413, 0.16556, (40, 100), (-113.43926, -42.93215, 134.8975))]",,
340~388,[],,
datetimeStart,,2021-01-01 00:00:00,
datetimeEnd,,2021-12-31 23:59:00,
